,S. No.,Name,Designation,Affiliation,Specialisation,LinkedIn Profile,Column 1
,1,Adele Waugaman,"Senior Program Officer, AI Innovations Advocacy",Gates Foundation,AI,https://www.linkedin.com/in/waugaman/,https://www.linkedin.com/in/waugaman/
,2,Aferdita Bytyqi,Executive Director and Founding Member,Digital Transformations for Health Lab,Health systems strengthening,https://www.linkedin.com/in/aferditabytyqi/,https://www.linkedin.com/in/aferditabytyqi/
,3,Agnès Couffinhal,Global Program Lead for Health Financing,The World Bank,Health financing,https://www.linkedin.com/in/agn%C3%A8s-couffinhal-4409764b/,https://www.linkedin.com/in/agn%C3%A8s-couffinhal-4409764b/
,4,Agnes Soucat,Director Health and Social Protection,AFD - Agence Française de Développement,Health financing,https://www.linkedin.com/in/agnes-soucat-md-mph-ph-d-a9024413/,https://www.linkedin.com/in/agnes-soucat-md-mph-ph-d-a9024413/
,5,Ana Estela Haddad,Secretary of Information and Digital Health  ,"Ministry of Health, Brazil",,LinkedIn Profile,https://www.linkedin.com/in/ana-estela-haddad-34989644/
,6,Anaita Singh,"Senior Officer, Integrated Portfolio Management, Digital Health Innovation & Al","Gates Foundation, India Country Office",AI,LinkedIn Profile,https://www.linkedin.com/in/anaitasingh/
,7,Andrea Martina Studer,Chief Executive Officer,Fondation Botnar,Digital health philanthropy,LinkedIn Profile,https://www.linkedin.com/in/andrea-studer-953835a7/
,8,Angela Nzioki,Vice President Enterprise Services & Partnerships/ Kenya MD,"Kasha Global, Inc.",Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/angelanzioki/
,9,Angélica Baptista Silva,Member of ISfTeH - WoW,International Society for Telemedicine & eHealth,Researcher ,Linkedln Profile,https://www.linkedin.com/in/angelicabaptista/
,10,Ann Aerts,Head,Novartis Foundation,Digital health advocacy,LinkedIn Profile,https://www.linkedin.com/in/ann-aerts-87321516/
,11,"Anne Forsyth","Director, Clinical Applications and Decision Support ",Women's College Hospital,,LinkedIn Profile,https://www.linkedin.com/in/anne-forsyth-9175394a/
,12,Anne Stake,Al Product and Portfolio,Gates Foundation,Digital health innovation,LinkedIn Profile,https://www.linkedin.com/in/anne-stake-015b634/
,13,Annie (Mary-Anne) Hartley,Director of LiGHT (Laboratory for Intelligent Global Health and Humanitarian Response Technologies),Ariadne Labs / EPFL School of Computer and Communication Services,AI / Machine Learning,LinkedIn Profile,https://www.linkedin.com/in/anniehartley
,14,Assiatou Kama Niang,Co-founder and Executive Director ,Community Innovation Hub,Innovation and advocacy,Linkedln Profile,https://www.linkedin.com/in/assiatou-kama-niang-2410b2a7/
,15,Audrey TOURE,Communications Officer,Union Béninoise de Pharmaciens (UBPHAR),Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/audrey-toure-b5a8b0213/
,16,Béatrice Garrette,Director General,Fondation Pierre Fabre ,Digital health philanthropy,LinkedIn Profile,https://www.linkedin.com/in/beatrice-garrette-302a9415/
,17,Beatrice Murage,"Global Director, Sustainability and Access to Care",Philips,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/beatrice-murage-7104b2a/
,18,Carol Kamasaka,Digital Health Specialist and President,Uganda Health Informatics Association,Health information systems,LinkedIn Profile,https://www.linkedin.com/in/carolkamasaka/
,19,Carolina Batista,Partner& Head of Global Health ,Baraka Impact Finance,Health financing,LinkedIn Profile,https://www.linkedin.com/in/carolina-batista-md-mph-a9024413/
,20,Caroline (Franck) Perrin ,Executive Director,Geneva Digital Health Hub (gdhub),Health information systems,LinkedIn Profile,https://www.linkedin.com/in/caroline-franck-perrin-71a7a414/
,21,Caroline Shakwei Mbindyo,Chief Innovation Officer,Amref Health Africa,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/caroline-mbindyo-9828a113/
,22,Christina Villella,"Member/Treasurer, Board of Directors",Global Digital Health Network,Health information systems,LinkedIn Profile,https://www.linkedin.com/in/christina-villella-0275a52b/
,23,Danielle (Danny) Simpson-Cupido,Chief Executive Officer,CHAPS - Centre for HIV/AIDS Prevention Studies,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/danielle-simpson-cupido-63870814/
,24,Derya Şahin (Dr),Digital Health and Data Governance Consultant,The World Bank,AI,LinkedIn Profile,https://www.linkedin.com/in/deryasahin/
,25,Effy Vayena,Co Director,Stavros Niarchos Foundation Bioethics Academy ,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/effy-vayena-34301614/
,26,Erica Layer,Chief Operating Officer,health.enabled,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/ericalayer/
,27,Fazilah Shaik Allaudin,Penang State Health Director,"Ministry of Health, Malaysia",Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/fazilahshaikallaudin/
,28,Florence Gaudry-Perkins,Founder & CEO,Digital Health Partnerships,Digital health advocacy,LinkedIn Profile,https://www.linkedin.com/in/florenceperkins/
,29,Ilona Kickbusch,Director ,DTH Lab,Digital health policy,LinkedIn Profile,https://www.linkedin.com/in/ilonakickbusch/
,30,Iveth J. González,Head of Health Programme,Terre des hommes foundation,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/iveth-j-gonzalez-3617321a/
,31,Jacqueline Pienaar,Chief of Party,Project Last Mile,Health systems strengthening,LinkedIn Profile,https://www.linkedin.com/in/jacqueline-pienaar-8b2b7337/
,32,Jennifer Nelson,Senior Specialist Digital Health Solutions ,Inter-American Development Bank,Digital health transformation and innovation,Linkedln Profile,https://www.linkedin.com/in/jennifer-nelson-5460224/
,33,Joseline Carías Galeano,Chief Operating Officer,RECAINSA,Digital health strategy / non-profit management ,LinkedIn Profile,https://www.linkedin.com/in/joseline-car%C3%ADas-galeano-9a117b44/
